RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  2    M =  5

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
   82  140     1     0  con    0  1.0E+00  1.7E-03  1.036E-02  1.743E+02
   83  141     1     0  con    0  1.0E+00  8.7E-04  7.566E-03  1.743E+02
   84  142     1     0  con    0  1.0E+00  1.2E-03  4.191E-03  1.743E+02
   85  143     1     0  con    0  1.0E+00  7.9E-04  3.743E-03  1.743E+02
   86  144     1     0  con    0  1.0E+00  2.0E-03  3.304E-02  1.743E+02
   87  145     1     0  con    0  1.0E+00  4.1E-04  6.073E-03  1.743E+02
   88  146     1     0  con    0  1.0E+00  3.6E-04  3.758E-03  1.743E+02
   89  147     1     0  con    0  1.0E+00  4.6E-04  2.526E-03  1.743E+02
   90  148     1     0  con    0  1.0E+00  8.0E-04  1.308E-02  1.743E+02
   91  149     1     0  con    0  1.0E+00  1.3E-03  3.916E-03  1.743E+02
   92  150     1     0  con    0  1.0E+00  2.1E-04  2.337E-03  1.743E+02
   93  151     1     0  con    0  1.0E+00  1.7E-04  3.800E-03  1.743E+02
   94  152     1     0  con    0  1.0E+00  2.0E-04  3.435E-03  1.743E+02
   95  154     1     0  con    1  3.1E-01  4.2E-04  1.602E-02  1.743E+02
   96  155     1     0  con    0  1.0E+00  4.2E-04  4.379E-03  1.743E+02
   97  156     1     0  con    0  1.0E+00  1.9E-04  1.850E-03  1.743E+02

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 1.000E-01 seconds.

